text,target_label,category_name
"the blood of the lamb.

This will be a hard task, because most cultures used most animals
for blood sacrifices. It has to be something related to our current
post-modernism state. Hmm, what about used computers?

Cheers,
Kent",19,talk.religion.misc
" >say they have a ""history of untrustworthy behavoir[sic]""? ",11,sci.crypt
"930418

Do what thou wilt shall be the whole of the Law. [Honestly.]
The word of Sin is Restriction. [Would I kid you?]


Does one man's words encompass the majestic vision of thousands
of individuals?  Quoting a man is not the same as quoting the
Order.  Taken out of context, words can be interpreted much
differently than had one applied them within the confines of
their original expression.

I think this is the case regarding Hymenaeus Beta, Frater Superior 
of the Order to which I belong.  When he included that bit
from Merlinus X' he did us all a service.  He showed us the extremes
to which Order members have been known to go in their fervor.
I have little knowledge regarding Reuss' background, but surely
he was an unusual man, and he was an important force in the Order 
for many years.

Yet as people change so do Orders change, and while we look back
so carefully at the dirty laundry of O.T.O. remember that this is
only the surface skim and that many perspectives are now encompassed
which extend beyond any one individual.  I hope to show that there
was and is much room for a difference of opinion within the Order
itself, perhaps by testing the limits myself.


Let us examine this issue a bit more closely....

""In 1895, Karl Kellner (1850-1905), a wealthy Austrian industrialist
and paper chemist, as well as a high-grade Mason, founded the Ordo
Templi Orientis.  Kellner had traveled widely in the East, where he
met three adepts who instructed him specific magical practices.  
Kellner's efforts to develop the Order were later assisted by Franz
Hartmann, Heinrich Klein and Theodore Reuss, who had worked together
prior to joining the O.T.O.  The Order was first proclaimed in 1902
in Reuss's Masonic publication, 'Oriflamme'.  On Kellner's death,
Reuss succeeded him as Outer Head [O.H.O.].  The 'Jubilee' edition of
the 'Oriflamme', published in 1912, announced that the Order taught
secret of sexual magic.
 
""Theodore Reuss was an interesting character.  Born June 28, 1855 in
Augsburg, he entered Masonry in 1876.  He was a singer, journalist and
possibly a spy for the Prussian political police, infiltrating the Socialist
League founded by Karl Marx's daughter and her husband.  Reuss was
later associated with William Wynn Westcott, a leader of the Golden
Dawn, who later introduced him to John Yarker.  Yarker chartered Reuss to
found the Rites of Memphis and Mizraim in Germany.  After several
attempts to concretize various Masonic Rites, Reuss settled on the
development of the O.T.O.

""The Order experienced reasonably steady growth under Reuss' leadership.
For example, he chartered Papus in France, Rudolph Steiner in Berlin
and H. Spencer Lewis in the USA.  In 1912, the historic meeting between
Reuss and Crowley occurred.  Crowley wrote that Reuss came to him and
accused him of revealing Order secrets.  When Crowley looked at it afresh,
the initiated interpretation of sexual magick unfolded itself to him for
the first time.  Reuss appointed Crowley as Supreme and Holy King of all
the English speaking world, and it was this authorization that he invoked
when publishing the material of the Equinox.

""Reuss resigned as Outer Head of the Order in 1922 after suffering a
stroke and named Crowley his successor.  All was well until 1925 when
_The Book of the Law_ was translated into German.  There was a break
in the continuity of the Order.  Manyk members split with the new O.H.O.
over the book, which Crowley was actively promulgating through the Order.
He had earlier revise dthe Order rituals at Reuss's request, deeply
infusing the doctrines of the New Aeon revelation.""

_An Introduction to the History of the O.T.O._, by Ad Veritatem IX'

Within _Equinox III:10_, Edited by 
  Hymenaeus Beta, Frater Superior, Rex Summus Sanctissimus,
    Caliph of the United States of America,
      Published by Samuel Weiser, 1990.



There are many possible reasons that our Frater Superior included this
material in _Equinox III:10_.  And this is the real point, is it not?
Why did he wish to publish such things about the history of his own
organization?  Does he represent a dogmatic threat to the principle
of Thelema?  Or is he exercising his True Will and putting forth very
complex pictures with no easy answers?  A picture which leaves room
for very many interpretations.

It is quite easy for me to see, for example, that all of O.T.O. derived
out of the dribble of faltering Masonry, purchased by clever hucksters
with an ounce of courage and some writing ability to aid them.  And I
can take that all the way down to our present Caliph, whose feeble
support of the 'Law of Thelema' is laughable at best.

Would I be thrown out of the Order for speaking in this way?  
Will I?  
I think not.
Why?  Because my Frater will see it as a perspective, an interjection
I am using as an example.  My illustration shows that we may express things
in the context of a larger work and the true significance of this may be
quite difficult to apprehend at first.

So it may be with OTO and Merlinus X'.  Please look O.T.O. more carefully.
I do not support Reuss's words myself, as I am not qualified to assess
them, and I am critical of their pomposity.  If I who am a member of
the Order take such a stand and am allowed to continue doing so, then
what can this say about the health of the Order?  Does it mean that
the Order has 'gone soft' and abandoned its moral principles?  Or
does it mean that it is strong in its ability to let the will of
universal kinship arise on its own, not shackled by some dogmatic
requirement?  How shall we resolve these two possibilities?


I find a high calibre of individual associated with Ordo Templi Orientis.
They are often quite intelligent and sometimes very well versed in arcane
or usual information.  They are quite often artists and geniuses.  
Having met some 20 longstanding members in the SF Bay Area (many who are or
were very heavily involved with the Order), I can vouch for the integrity
of the organization as it stands.

I have sometimes questioned the policy of Hymenaeus Beta.  In these moments 
I followed my intuition, and I've found little to stop me from requesting
a Second initiation from a different O.T.O. body.  I'm happily participating
in social groups (Feasts or Initiations) and have come to know the Gnostic
Mass well enough for my tastes.
 

This doesn't make me an authority on Order politics and explanations, however.
I can only hypothesize and relay to you what I understand based on my
limited contact with other members.

I urge you not to take the words of Merlinus X too far.  There are many
ways to interpret words, and many people who have become involved with
the Order feel very strongly about the sanctity of personal freedom
and the preservation of individual vision.

I welcome other comment on this issue and will be writing more in response
to other posts in this thread.


Invoke me under my stars.  Love is the law, love under will.

I am I!",19,talk.religion.misc
" How about Kirlian imaging ? I believe the FAQ for sci.skeptics (sp?)
 has a nice write-up on this. They would certainly be most supportive
 on helping you to build such a device and connect to a 120Kvolt
 supply so that you can take a serious look at your ""aura""... :-)",13,sci.med
"

	There is no notion of heliocentric, or even galacticentric either.



--------------------------------------------------------------------------------",0,alt.atheism
"In the following report: _Turkey Eyes Regional Role_ ANKARA, Turkey (AP)
April 27, 1993, we find in the last paragraph:

[Turanist] Although Premier Suleyman Demirel criticized Ozal's often
[Turanist] brash calls for more Turkish influence, he also has spoken
[Turanist] of a swath of Turkic peoples ""stretching from the Adriatic
[Turanist] Sea to the Great Wall of China.""

Who does Demirel think he is fooling? It seems at both ends of his envisioned 
pan-Turkic Empire -- the Balkans and the Caucasus -- Turkey's fascist boasts
are being pre-empted.

I would suggest Turkey let the world feel some of their ""Grey Wolf Teeth"", and
attempt to stretch from the Adriatic to China! Turkey will have cried ""wolf""
just once too much! 

",17,talk.politics.mideast
"Many thanks to those who replied to my appeal for info on a drive I have
which is 3.5"" 600RPM!!

I now have some information on how to modify this for use with a BBC B 
computer. Not only do you have to change the speed from 600 to 300 rpm
(tried that) but also change 8 components in the Rec/Play section to allow
for the lower data rate (250kbit, not 500kbit as it was designed for) and also
change the Recording Current to allow for the low data rate/rev speed!

Hopefully this should sort it all out .... not bad for 9 quid (normally 32 
quid and upwards ....)

The drive is a JVC MDP series drive ...",12,sci.electronics
".........
I, some years ago, almost became a victim of this.  Squirted a fair amount in
an old model 15 Teletype which was acting up, then turned it on.  The eruption
when the motor starting contacts broke was mighty spectacular... I almost got
my eyebrows singed, the plastic (old ones had safety glass) cover over the
platen, etc flew across the room, and several people in the room almost had
heart attacks.  Beware the explosive properties of WD40 vapor.
",12,sci.electronics
"
The Supreme Court seems to disagree with you -- they have stated that
""the people"" is a term of art refering to an individual right, and
have explicitly mentioned the second amendment as an example.

I quote:

  ""... 'the people' seems to have been a term of art employed in
  select parts of the Constitution.  The Preamble declares that the
  Constitution is ordained, and established by 'the people of the
  the U.S.'  The Second Amendment protects the right of the people
  to keep and bear Arms ....""
	- Supreme Court of the U.S.,  U.S. v. Uerdugo-Uriquidez (1990).

Furthermore, in the Miller decision, they only permitted prosecution
for possession of a sawed-off shotgun because the defense had not
presented testimony and they therefore accepted the argument of the
government that such weapons have no military value -- they held that
the amendment protected the individual right to possess military
weapons. Unfortunately, no second amendment case has successfully
gotten to the court in fifty years. However, that does not change the
interpretation.

Furthermore, it appears that others disagree with you as well, vis:

 ""The conclusion is thus inescapable that the history, concept,
  and wording of the Second Amendment to the Constitution of the
  United States, as well as its interpretation by every major
  commentator and court in the first half-century after its ratifi-
  cation, indicates that what is protected is an individual right
  of a private citizen to own and carry firearms in a peaceful manner.""
   - Report of the Subcommittee on the Constitution of the
     Committee on the Judiciary, United States Senate,
     97th Congress, Second Session ( February 1982 )

You might rightfully ask ""well then, what does that first bit about
militias mean?""

Well, ""militia"" in historical context basically means the whole of the
adult males of the country. (Indeed, the U.S. Code still defines
""militia"" as all armed men over the age of 17).

   ""The Militia comprised all males physically capable of acting
    in concert for the common defense ....  And ... these men were
    expected to appear bearing arms supplied by themselves and of
    the kind in common use at the time.""
	- Supreme Court of the United States,  U.S. v. Miller (1939).

The reason for the phrase being there was to explain the rationale
behind the amendment, which was this: by depending on the people to
bear arms in defense of the country, no centralization of military
power could ever occur which would permit tyranny -- in short, the
government would remain perpetually in fear of the people, rather than
the other way around.

   ""No free man shall ever be debarred the use of arms.  The strongest reason
   for the people to retain the right to keep and bear arms is, as a last
   resort, to protect themselves against tyranny in government.""
     - Thomas Jefferson, Proposal Virginia Constitution, June 1776
       1 Thomas Jefferson Papers, 334 (C. J. Boyd, Ed., 1950).

   ""And what country can preserve its liberties, if its rulers are not
   warned from time to time that this people preserve the spirit of
   resistance ?  Let them take arms ... The tree of liberty must be
   refreshed from time to time, with the blood of patriots and tyrants.""
     - Thomas Jefferson (letter to William S. Smith, 1787, in
       Jefferson, On Democracy 20, S. Padover, ed., 1939).

   ""Before a standing army can rule, the people must be disarmed;
   as they are in almost every kingdom of Europe.  The supreme
   power in America cannot enforce unjust laws by the sword;
   because the whole body of the people are armed, and constitute
   a force superior to any bands of regular troops that can be, on
   any pretense, raised in the United States.""
     - Noah Webster, ""An Examination into the Leading Principles
       of the Federal Constitution"" (1787), in Pamphlets on the
       Constitution of the United States (P. Ford, 1888).

You may disagree with the second amendment, and wish that it be
repealed, but please do not pretend that it isn't there and that it
doesn't mean what it says. You might argue that conditions have
changed and that it should no longer be present, but you can't imagine
it away.

I could fill a book with detailed argumentation. Many have already.

However, none of this has anything to do with cryptography.  Lets get
it out of here. If you insist on discussing this, please do it in
talk.politics.guns, where people will gladly discuss this matter with
you.

--
Perry Metzger		pmetzger@shearson.com",11,sci.crypt
"
ed>1.  All of us that argue about gyroscopes, etc., throughly understand
ed>the technique of countersteering.

me>Including all the ones who think that they countersteer all the way
me>through a corner??

ed>Well... all the way through a decreasing-radius corner, anyway...

Maybe they are riding around an ever-decreasing circle of lies which
eventually leads to the truth....



me>The official line here (though I do have my doubts about it) is that the
me>front brake is applied first, followed by the rear brake, the idea being
me>that you avoid locking up the rear after weight transfer takes place. 


Me too, though unfortunately the ""Official Line"" is the one that you
have to adhere to if you want to get a full licence. The examiner's
guidelines are laid down by the government, and the basic rider education
courses have no choice but to follow them. It surprises me that none of the
rider groups here, either MAG or the BMF make much noise about the fact that
the riding test requires you to ride three feet from the kerb all the time
in order to pass, that the front brake must be applied before the rear, that
you have to keep looking over your shoulder all the time (instead of just
when it is justified) - there's probably a few more too, which I can't
think of for the moment. If the riding test could be rejigged a bit 
to include more of the real-world survival skills and less of the 
woefully simplistic crap that it contains now, then the accident figures
would (imho) reduce still further.

Don't think we should include countersteering knowledge in our test though...",8,rec.motorcycles
": 
: I am considering buying a 1993 Chevy or GMC 4x4 full-size pickup with
: the extended cab.  Any opinions about these vehicles?  Have there been
: any significant problems?
: 
: -- 
: Dick Grady           Salem, NH,  USA            grady@world.std.com
: So many newsgroups, so little time!


I bought a brand new 1992 Chevrolet K2500 HD 4x4 extended cab last
May.  It has had many, many problems.  See my earler post that describes
the situation.  I went to BBB arbitration, and they ruled that Chevrolet
must buy it back from me.  If you do get one, stay away from the 5 speed
manual with the deep low first gear.  They have put three of them in my
truck so far.  After about 1,500 miles, overdrive either starts
rattling or hissing loudly.  There is no way to fix them.  Chevrolet 
says that the noise is ""a characteristic of the transmission.""

Also, if you are planning to use your truck to tow, the
gear ratios in that tranny suck.  On a steep hill, you get up to about
55 MPH in second gear at 4,000 RPM (yellow line).  If you shift to third,
the RPM drop to only 2,500, and you begin to loose speed.  I should
point out that the 350 V8 they put in the HD (8600 GVW) trucks is a
detuned motor compared to the one they put in the light duty ones.  They
dropped the compression ratio, supposedly for ""engine longevity""
reasons.  So the light duty 350 may pull better than my truck does.
Other things that have gone wrong include the ventilation fan (3 times 
so far), paint (had specs of rust embedded in the paint from being
shipped by rail with no covering), and suspension parts (link between
stabilizer and control arm fell off).

Any company can make a bad individual car, Chevrolet included.  What
really bothered me was the way they reacted.  They made no attempt
to deal with me except to tell me to take it back to the dealer for 
them to attempt to fix it one more time.  So I bought a brand new
Ford F250 HD Super Cab with a 460 and an automatic.  I will never
buy another Chevrolet.",7,rec.autos
"
Sorry, that's a feature.  The ICCCM specifies how the app should set its title, so the wm is obliged to do it.  If this bothers you, complain to the app writer.


Write your own wm that doesn't support the ICCCM.  Or write an program that you give a window ID and a title.  The your program can set the windows title for the app and then if the app changes it, your program switches it back again.

",5,comp.windows.x
"I don't have nor Imagine nor Real 3d, but as old
Amiga user I think you should take a look also to 
Real 3d 2.0 for the Amiga. I saw Imagine 2.0 on the
Amiga for a long time at my friend's home, and
I've seen R3D 2.0 in action at Bit.Movie 93 in Riccione,
Italy (an Italian Computer Graphics Contest).
Many professionals using 3d Studio on PC, SoftImage
for Silicon Graphics and Imagine on the Amiga were 
*VERY IMPRESSED* by the power of this programs.
Sorry, I've lost the posting with full description 
of features of this great program.

For more informations give a look in comp.sys.amiga.graphics.

Representative of Activa International told me that
it will be out in 2 weeks for the Amiga and that
PC MS-Windows, Silicon Indigo and Unix version are 
under development.

Ciao,
	Sergio



",1,comp.graphics
"
I've only ever done it in an automatic. I was sitting in my Olds, in
the winter, at a light, when I heard screeching behind me. I managed to
dart into the left turn lane before the sliding Jetta wound up half
where I was and half in the parked car beside where I was. I've never
had occasion to do it on a bike, but I imagine that it would be even
easier, because you could slip beside the car in front. Giving a gander
at the mirrors while at a light will give you time to get the clutch
out smoothly when you notice trouble, instead of waiting for the
screeching.",8,rec.motorcycles
"I don't know the exact coverage in the states.  In Canada it is covered
by TSN, so maybe ESPN will grab their coverage!  I don't know!

As for the picks
Ottawa picks #1 which means it is almost 100% that Alexander Daigle will 
go #1. He'll either stay or be traded in Montreal or Quebec.  IMO I would
take Kariya.  He should alot of leadership in the NCAA and so far in
the World Championships.  Daigle didn't show this for his junior team.

San Jose will then get Kariya.

Tampa Bay will either go for a russian Kozlov (I think that's it) or a 
    defenseman Rob Niedemeyer (probably spelt the last name wrong)

Because of expansion I won't go further but I will name other of the
blue chip prospects

   - Chris Gratton
   - Chris Pridham
   - a swedish player who I can't remember his name

Draft Order
-----------
1) Ottawa
2) San Jose
3) Tampa Bay
4) South Florida or Anahiem
5) South Florida or Anahiem
6) Hartford
7) Edmonton
8) Dallas
9) NY Rangers
10) Philadelphia

the 8th thru 10th picks could be wrong - I don't have the standings here
and am guessing 

(In my mind there are 8 top notch prospects in the draft, with Kariya 
 leading the way but not going #1)",10,rec.sport.hockey
"AW&ST  had a brief blurb on a Manned Lunar Exploration confernce
May 7th  at Crystal City Virginia, under the auspices of AIAA.

Does anyone know more about this?  How much, to attend????

Anyone want to go?",14,sci.space
"

This was reported in Canadian papers Thursday, 22 April - I _think_ the
source was UPI, but don't recall for certain.



I understand that at least two goverment investigations have been ordered,
so we may learn more during their hearings. 


Tough call without more investigation, but if the thermal imaging story
holds up, I think the government will be more credable... of course,
paranoia fans won't believe their results anyway, will they?


Hear, hear! I'd also like to see the autopsy reports confirm news reports
that multiple victims were found shot (in the head), and in positions
inconsistent with fire victims. It is simply too early to draw conclusions
either way about this nasty incident, but I tend to believe the government
side.
",16,talk.politics.guns
"Using the VMODE command, all you need to do is type VMODE VESA at the dos
prompt. VMODE is included with the Speedstar 24.  I have used the VESA mode
for autodesk animator pro.
",1,comp.graphics
"CAD Setup For Sale:

G486PLB Local Bus Motherboard
  Can use up to 32MB of SIMMS (256k/1M/4M)
  9 expansion slots (8 16-bit slots, 1 32-bit slot)
  Weitek 4167 co-processor socket

33 Mhz Intel CPU

33 Mhz Weitek 4167 Math Co-processor

G-Host4000 Local Bus ET4000 Video Card
  Based on Tseng Labs' ET4000 chip design
  Supports resolutions up to 1280x1024 interlaced or non-interlaced
  Uses RAMDAC to allow up to 32k colors in 800x600, 65k colors in 640x480
  Register level compatible with CGA, EGA, VGA, MDA
  Software drivers available for 1-2-3, Symphony, Autocad, Autoshade,
   Windows, Wordperfect, VESA and 8514/A Emulation
  also contained on the card:
    Local Bus IDE controller
    Floppy Disk controller
    Two fully configuarable serial ports
    1 Parallel port
    1 Game port

  I used this setup to run AutoCad and 3D Studio.  The combination of
 Local Bus and the Weitek co-processor made for VERY fast CAD and modeling
 work.  The Weitek coprocessor can cut 3D Studio render times in half and
 sometimes more.  It also increases redraws and regens when modeling in
 both 3D Studio and Autocad.  Everything is less than a year old.  I am
 asking $950.00 + shipping for the whole package.  Please respond via email.
 Thanks.",6,misc.forsale
"[ . . .]

I am a relativist who would like to answer your question, but the way you
phrase the question makes it unanswerable.  The concepts of ""right""
and ""wrong"" (or ""correct/incorrect"" or ""true/false"") belong to the
domain of epistemological rather than moral questions.  It makes no
sense to ask if a moral position is right or wrong, although it is
legitimate to ask if it is good (or better than another position).

Let me illustrate this point by looking at the psychological derivatives
of epistemology and ethics:  perception and motivation, respectively.
One can certainly ask if a percept is ""right"" (correct, true,
veridical) or ""wrong"" (incorrect, false, illusory).  But it makes little
sense to ask if a motive is true or false.  On the other hand, it is
strange to ask whether a percept is morally good or evil, but one can
certainly ask that question about motives.

Therefore, your suggested answers (a)-(c) simply can't be considered:
they assume you can judge the correctness of a moral judgment.

Now the problem with (d) is that it is double-barrelled:  I agree with
the first part (that the ""rightness"" of a moral position is a
meaningless question), for the reasons stated above.  But that is
irrelevant to the alleged implication (not an implication at all) that
one cannot feel peace is better than war.  I certainly can make
value judgments (bad, better, best) without asserting the ""correctness""
of the position.

Sorry for the lengthy dismissal of (a)-(d).  My short (e) answer is
that when two individuals grotesquely disagree on a moral issue,
neither is right (correct) or wrong (incorrect).  They simply hold
different moral values (feelings).",0,alt.atheism
"<<I wrote>
<Is there a resource available to the consumer comparing all of the makes
<and models of automobiles, trucks, vans, etc. for survivability in a
<crash of different severities?
<...
<Also, I've found very little objective data comparing different
<vehicles for handling, pick-up, braking, expected maintenance, etc.
<I recall years ago Consumer Reports annual buyer's guide was much more
<informative in those aspects than it is now.

Thanks to a reply from someone I looked a little further and found what
I was looking for.  The April CR magazine has most of the above things.
Despite recent articles here the ratings looked pretty good for
relative comparison purposes.  Unfortunately the crash test comparisons
didn't include half of the cars I'm comparing.
Anybody know how '93 Honda Civic hatchbacks and Toyota Tercels fare in
an accident?

",7,rec.autos
"The explanations of Federal law enforcement officials about what
happened in Waco is just another example of the survivors writing the
history books to put themselves in the best of a bad light.
-- 
Dave Feustel N9MYI <feustel@netcom.com>",16,talk.politics.guns
"Has anybody generated an X server for Windows NT?  If so, are you willing
to share your config file and other tricks necessary to make it work?

Thanks for any information.",5,comp.windows.x
"
Be patient. He has a sore shoulder from crashing into the wall.
The Cards will give him all the time he needs to come around.
He is their full time centerfielder.
He will not however steal as often this year as he is hitting
clean-up.",9,rec.sport.baseball
"According to a previous poster, one should seek a doctor's
assistance for injections. But what about Sumatriptin [sp?]?
Doesn't one have to inject oneself immediately upon the onset
of a migraine?

",13,sci.med
"Is there a way to connect a PowerBook 145, Mac IIsi, and Personal LaserWriter
LS so that I can (not necessarily silmultaneoulsy) print from either the IIsi,
or PB, and file share between the IIsi and PB?
I know I can get the ($expensive$) LW NT upgrade for my LS, but I can't afford
that...",4,comp.sys.mac.hardware
"

    Would you believe that there is a letter in MacWEEK this week from
one of the hardware types at Digital Eclipse. He says that they run
tests on all of the components to see if they will perform at the
upgraded speed. If they do not then DESI replaces them with ones that
do.",4,comp.sys.mac.hardware
"
	Proof that the entire private sector is vastly more inefficient?


	Blue Cross is the government health insurance provider.

	Oops.

	[Ads for Z magazine deleted to Save the Earth]",18,talk.politics.misc
"David Karr, on the Tue, 20 Apr 1993 01:01:01 GMT wibbled:
: >In article <1993Apr19.141959.4057@bnr.ca>
: >
: >> With regards to the pub brawl, he might have a history of such things.
: >> Just because he was a biker doesn't make him out to be a reasonable
: >> person.  Even the DoD might object to him joining, who knows?

: If he had a history of such things, why was it not mentioned in the
: article, and why did they present the irrelevant detail of where he
: got his drinking money from?

: I can't say exactly who is at fault here, but from where I sit is
: looks like we're seeing the results either of the law going way out
: of hand or of shoddy journalism.

: If the law wants to attach strings to how you spend a settlement, they
: should put the money in trust.  They don't, so I would assume it's
: perfectly legitimate to drink it away, though I wouldn't spend it that
: way myself.

: -- David Karr (karr@cs.cornell.edu)

We heard about this from a newspaper article.  Journalists and editors
always pick out the most interesting and sensational ""facts"" for our
facts get in the way of a good story"".  You must have noticed how
motorcyclists get treated by the press.  They thrive on hysteria,
ignorance, sensationalism and one-upmanship.  Unfortunately there's
not enough salt to keep taking a pinch of.

--

Nick (the Cynical Old Biker)   DoD 1069   Concise Oxford   Leaky New Gearbox

M'Lud.",8,rec.motorcycles
"Reading all you folks things to do to illegally parked cars made me
wonder who's going to carry cinder blocks on a bike(?!?!?) or is 
ready to do serious damage (key carvings etc.) to a cage.  Then I
had an idea--chain lube isn't just for chain's anymore!!!  It seems
more reasonable to me, no permanent damage but lots of work to get
off!  (Don't ask me how I know :)  Use it anywhere, the windshield,
the door handles, in the keyhole, etc.  What a nasty mood I'm in.
It's raining again...",8,rec.motorcycles
"

No.  Zeno's paradox is resolved by showing that integration or an infinite
series of decreasing terms can sum to a finite result.


Well, suppose a probe emitting radiation at a constant frequency was
sent towards a black hole.  As it got closer to the event horizon, the
red shift would keep increasing.  The period would get longer and longer,
but it would never stop.  An observer would not observe the probe actually
reaching the event horizon.  The detected energy from the probe would keep
decreasing, but it wouldn't vanish.  Exp(-t) never quite reaches zero.

I guess the above probably doesn't make things any more clear, but hopefully
you will get the general idea maybe.",19,talk.religion.misc
"I am looking for a package which takes as inputs a set
of geometric objects defined by unions of convex polytopes
specified in some manner, say by inequalities and equalities,
and determines in some reasonable form things like
intersections, unions, etc. etc..

Does anyone know where I can find such a thing?",1,comp.graphics
